# 51Pegの視線速度データ (Birkby et al. 2017; https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=J/AJ/153/138)
# BJD: 重心ユリウス日（ある時刻から測った日数）
# RV: 恒星の視線速度（m/s）
# e_RV: 視線速度の測定誤差（m/s）
# Set: 測定装置の名称
BJD,RV,e_RV,Set
2449610.532755,-33258.0,9.0,ELODIE
2449612.471656,-33225.0,9.0,ELODIE
2449655.311263,-33272.0,7.0,ELODIE
2449728.227362,-33310.0,7.0,ELODIE
2449729.22498,-33248.0,7.0,ELODIE
2449730.234998,-33196.0,8.0,ELODIE
2449739.265801,-33221.0,8.0,ELODIE
2449750.245959,-33249.0,8.0,ELODIE
2449751.243898,-33233.0,9.0,ELODIE
2449753.24468,-33313.0,8.0,ELODIE
2449755.249967,-33187.0,7.0,ELODIE
2449765.257681,-33283.0,8.0,ELODIE
2449766.25624,-33314.0,8.0,ELODIE
2449766.265039,-33318.0,8.0,ELODIE
2449767.2554,-33233.0,8.0,ELODIE
2449903.542366,-33185.0,8.0,ELODIE
2449903.551167,-33190.0,7.0,ELODIE
2449904.574652,-33227.0,7.0,ELODIE
2449906.60002,-33256.0,7.0,ELODIE
2449906.60622,-33258.0,7.0,ELODIE
2449907.558699,-33167.0,7.0,ELODIE
2449908.590383,-33213.0,7.0,ELODIE
2449909.573262,-33299.0,7.0,ELODIE
2449910.590144,-33270.0,9.0,ELODIE
2449910.601345,-33266.0,7.0,ELODIE
2449969.384097,-33294.0,7.0,ELODIE
2449969.5882,-33290.0,7.0,ELODIE
2449970.434009,-33215.0,7.0,ELODIE
2449970.628111,-33209.0,7.0,ELODIE
2449971.441218,-33189.0,7.0,ELODIE
2449971.61902,-33212.0,8.0,ELODIE
2449972.351326,-33262.0,7.0,ELODIE
2449972.358026,-33269.0,7.0,ELODIE
2449974.398938,-33245.0,8.0,ELODIE
2449975.429641,-33200.0,7.0,ELODIE
2449976.442543,-33250.0,7.0,ELODIE
2449976.598143,-33276.0,7.0,ELODIE
2450021.290405,-33223.0,7.0,ELODIE
2450021.448195,-33224.0,7.0,ELODIE
2450022.364137,-33190.0,7.0,ELODIE
2450022.458231,-33210.0,7.0,ELODIE
2450023.295478,-33278.0,7.0,ELODIE
2450023.429469,-33282.0,7.0,ELODIE
2450023.441968,-33290.0,7.0,ELODIE
2450024.310211,-33310.0,7.0,ELODIE
2450024.428604,-33308.0,7.0,ELODIE
2450025.258049,-33238.0,7.0,ELODIE
2450025.451536,-33233.0,7.0,ELODIE
2450026.289379,-33215.0,9.0,ELODIE
2450026.440769,-33198.0,8.0,ELODIE
2450027.399503,-33238.0,7.0,ELODIE
2450027.443,-33280.0,7.0,ELODIE
2450028.290541,-33320.0,7.0,ELODIE
2450028.343937,-33316.0,7.0,ELODIE
2450061.279015,-33294.0,7.0,ELODIE
2450062.254426,-33332.0,7.0,ELODIE
2450063.251736,-33292.0,7.0,ELODIE
2450070.267495,-33296.0,8.0,ELODIE
2450090.251231,-33222.0,9.0,ELODIE
2450091.219749,-33277.0,7.0,ELODIE
2450264.594107,-33273.0,8.0,ELODIE
2450265.599893,-33292.0,7.0,ELODIE
2450268.604647,-33253.0,7.0,ELODIE
2450324.485699,-33291.0,7.0,ELODIE
2450324.502099,-33289.0,7.0,ELODIE
2450325.462024,-33254.0,7.0,ELODIE
2450325.591528,-33250.0,7.0,ELODIE
2450326.451549,-33191.0,7.0,ELODIE
2450327.459572,-33218.0,7.0,ELODIE
2450328.486795,-33286.0,7.0,ELODIE
2450328.501195,-33288.0,7.0,ELODIE
2450329.488015,-33267.0,7.0,ELODIE
2450380.355467,-33272.0,7.0,ELODIE
2450381.359111,-33208.0,7.0,ELODIE
2450382.373154,-33232.0,7.0,ELODIE
2450383.345397,-33296.0,7.0,ELODIE
2450384.323139,-33294.0,7.0,ELODIE
2450385.340078,-33206.0,7.0,ELODIE
2450447.229536,-33309.0,9.0,ELODIE
2450448.229648,-33252.0,7.0,ELODIE
2450474.23207,-33208.0,7.0,ELODIE
2450475.243801,-33213.0,7.0,ELODIE
2450476.265832,-33305.0,7.0,ELODIE
2450675.569681,-33300.0,7.0,ELODIE
2450677.603672,-33187.0,9.0,ELODIE
2450678.577014,-33218.0,7.0,ELODIE
2450681.521432,-33194.0,7.0,ELODIE
2450700.527405,-33305.0,7.0,ELODIE
2450702.503523,-33227.0,7.0,ELODIE
2450703.48133,-33202.0,7.0,ELODIE
2450730.43665,-33294.0,7.0,ELODIE
2450731.411316,-33274.0,7.0,ELODIE
2450736.355322,-33220.0,8.0,ELODIE
2450766.31189,-33213.0,7.0,ELODIE
2450770.297177,-33222.0,8.0,ELODIE
2450773.374726,-33317.0,7.0,ELODIE
2450795.271201,-33255.0,8.0,ELODIE
2450822.245798,-33247.0,7.0,ELODIE
2450823.250014,-33310.0,7.0,ELODIE
2450824.241232,-33307.0,7.0,ELODIE
2451023.629608,-33250.0,7.0,ELODIE
2451026.560096,-33288.0,8.0,ELODIE
2451053.524757,-33220.0,8.0,ELODIE
2451058.576485,-33197.0,7.0,ELODIE
2451088.421158,-33213.0,7.0,ELODIE
2451118.354823,-33227.0,7.0,ELODIE
2451158.243508,-33313.0,7.0,ELODIE
2451390.586734,-33305.0,8.0,ELODIE
2451391.615399,-33242.0,7.0,ELODIE
2451392.604161,-33191.0,7.0,ELODIE
2451417.501535,-33210.0,7.0,ELODIE
2451418.476765,-33197.0,7.0,ELODIE
2451420.504621,-33291.0,8.0,ELODIE
2451423.550495,-33260.0,7.0,ELODIE
2451438.472858,-33224.0,7.0,ELODIE
2451442.485544,-33252.0,7.0,ELODIE
2451466.416757,-33286.0,7.0,ELODIE
2451467.417414,-33285.0,7.0,ELODIE
2451505.326424,-33297.0,8.0,ELODIE
2451510.352697,-33243.0,7.0,ELODIE
2451781.537609,-33201.0,7.0,ELODIE
2451782.493539,-33207.0,7.0,ELODIE
2451783.51297,-33276.0,7.0,ELODIE
2451783.549872,-33277.0,8.0,ELODIE
2451784.5139,-33297.0,8.0,ELODIE
2451785.578729,-33227.0,7.0,ELODIE
2451786.515453,-33193.0,7.0,ELODIE
2451803.467971,-33215.0,7.0,ELODIE
2451882.239728,-33292.0,8.0,ELODIE
2452111.591808,-33199.0,7.0,ELODIE
2452114.607024,-33296.0,7.0,ELODIE
2452115.607194,-33214.0,7.0,ELODIE
2452116.599263,-33192.0,7.0,ELODIE
2452117.528726,-33262.0,7.0,ELODIE
2452136.581321,-33223.0,7.0,ELODIE
2452137.569667,-33175.0,7.0,ELODIE
2452158.534707,-33194.0,7.0,ELODIE
2452159.581023,-33258.0,7.0,ELODIE
2452160.577636,-33315.0,7.0,ELODIE
2452197.409466,-33220.0,7.0,ELODIE
2452198.367024,-33304.0,7.0,ELODIE
2452217.421154,-33216.0,7.0,ELODIE
2452250.316391,-33283.0,8.0,ELODIE
2452488.589618,-33194.0,7.0,ELODIE
2452532.514001,-33308.0,8.0,ELODIE
2452533.510702,-33308.0,8.0,ELODIE
2452561.308937,-33250.0,7.0,ELODIE
2452565.465356,-33232.0,7.0,ELODIE
2452612.356694,-33266.0,8.0,ELODIE
2452833.607987,-33315.0,7.0,ELODIE
2452852.620554,-33196.0,7.0,ELODIE
2452858.587011,-33300.0,8.0,ELODIE
2452887.53981,-33275.0,7.0,ELODIE
